Edad,Ingresos_anuales,Calificacion_crediticia,Estado_laboral,Nivel_educativo,Experiencia_laboral,Monto_prestamo,Duración_prestamo,Estado_civil,Numero_dependientes,propiedad_vivienda,Pagos_mensuales,Tasa_tarjeta_credito,lineas_credito_abiertas,Consultas_credito,Deuda_ingreso,Historial_quiebras,Proposito_prestamo,Incumplimiento_préstamos_anteriores,Historial_pagos,Duracion_credito,Saldo_cuenta_ahorros,Saldo_cuenta_corriente,Activos_totales,Pasivos_totales,Ingresos_mensuales,Historial_pagos_facturas,Antiguedad_empleo,Patrimonio_neto,Tasa_interes_base,Tasa _interes,Pago_mensual_prestamo,Deuda_ingreso.1,Prestamo_aprobado,Calificacion_riesgo
45,39948,617,1,4,22,13152,48,2,2,1,183,0.354417919,1,2,0.3583356,0,4,0,29,9,7632,1202,146111,19183,3329.0,0.724972046,11,126928,0.199652,0.22758963,419.8059916,0.181077198,0,49.0
38,39709,628,1,3,15,26045,48,1,1,2,496,0.087826968,5,3,0.33027367,0,2,0,21,9,4627,3460,53204,9595,3309.083333,0.935132099,3,43609,0.207045,0.201077121,794.0542382,0.389852448,0,52.0
47,40724,570,1,2,26,17627,36,2,2,3,902,0.137414104,2,0,0.244729109,0,1,0,20,22,886,895,25176,128874,3393.666667,0.872240611,6,5205,0.217627,0.21254801,666.4066877,0.462156965,0,52.0
58,69084,545,1,1,34,37898,96,1,1,2,755,0.267587137,2,1,0.436244265,0,4,0,27,10,1675,1217,104822,5370,5757.0,0.896154707,5,99452,0.300398,0.300910849,1047.50698,0.313098312,0,54.0
37,103264,594,1,3,17,9184,36,2,1,2,274,0.320535325,0,0,0.078884212,0,2,0,26,27,1555,4981,244305,17286,8605.333333,0.941368739,5,227019,0.197184,0.175990179,330.1791405,0.070209847,1,36.0
37,178310,626,2,4,16,15433,72,2,0,3,732,0.102211337,5,1,0.259366401,0,2,1,16,19,2118,1223,67914,40843,14859.16667,0.756079359,5,27071,0.217433,0.217601155,385.5770742,0.075211289,1,44.0
58,51250,564,1,1,39,12741,48,2,0,3,337,0.367380343,6,1,0.127472703,0,3,0,21,18,5161,1735,65624,43894,4270.833333,0.884275127,5,21730,0.225741,0.205270968,391.3003517,0.170528863,0,50.0
49,97345,516,1,1,23,19634,12,3,5,2,288,0.209767583,5,0,0.395567635,0,3,0,19,11,781,74,50177,11556,8112.083333,0.933492414,5,38621,0.226634,0.209112942,1827.360055,0.260766559,1,42.4
34,116841,603,1,2,12,55353,60,3,5,1,638,0.192701165,3,0,0.31323326,1,2,0,25,29,1157,708,29632,49940,9736.75,0.728396927,3,7711,0.258853,0.291539425,1762.199026,0.246509259,0,61.0
46,40615,612,1,3,19,25443,12,2,4,4,704,0.512464644,3,2,0.505148027,0,3,0,23,10,1028,446,129664,12852,3384.583333,0.61532321,3,116812,0.184443,0.197270602,2353.577424,0.903383703,0,53.0
34,73646,478,1,3,10,48716,84,1,3,1,267,0.211235988,4,1,0.08144473,0,5,0,25,7,9266,3875,148966,20315,6137.166667,0.678446967,4,128651,0.334716,0.333538882,1504.452489,0.288643373,0,47.0
34,15000,591,1,2,11,30088,24,2,2,2,295,0.312183775,5,1,0.346685661,0,4,0,21,28,259,348,33062,3353,1250.0,0.842015471,3,29709,0.209588,0.182401198,1505.609528,1.440487622,0,56.0
42,74453,573,1,2,21,16154,60,2,1,3,258,0.527488434,6,0,0.371033592,0,2,0,26,7,781,1633,16204,35493,6204.416667,0.718948883,5,5231,0.234654,0.255684531,479.5398903,0.118873366,0,56.0
18,100508,580,1,3,0,20439,60,2,1,3,247,0.168624846,5,2,0.58136098,0,3,1,20,3,2027,916,181813,99030,8375.666667,0.543748779,6,82783,0.235439,0.245374274,594.3815332,0.10045547,0,63.0
19,47624,597,1,2,0,27197,36,2,1,2,196,0.114966564,2,1,0.751514819,0,2,0,15,21,2971,576,45336,9418,3968.666667,0.719940554,3,35918,0.213697,0.202228922,1013.829375,0.304845299,0,58.0
33,56650,605,1,5,11,12652,36,3,1,2,336,0.423430863,4,0,0.044156804,0,5,0,21,15,242,131,261435,11144,4720.833333,0.837213591,2,250291,0.195152,0.216412752,480.840828,0.173028949,1,33.6
27,50042,582,1,5,7,19105,60,3,1,3,680,0.103919134,6,3,0.308869314,0,2,0,36,14,2214,1219,11162,89196,4170.166667,0.920866973,5,7021,0.233105,0.187129387,492.5814437,0.281183352,0,53.0
43,142326,644,1,2,24,13499,96,4,2,2,772,0.222579231,1,2,0.295469876,0,3,0,18,2,13247,856,73836,4213,11860.5,0.9710625,5,69623,0.226499,0.223794765,303.1952309,0.090653449,1,39.2
29,16021,553,1,1,8,14655,72,1,0,3,286,0.55603001,5,1,0.10456869,0,2,1,25,12,8651,1127,29278,25345,1335.083333,0.949187834,4,3933,0.253155,0.234766213,381.1768758,0.499726765,0,59.0
23,34698,594,1,3,0,14314,60,4,3,2,755,0.18720284,5,0,0.100597962,0,2,0,27,29,3721,2098,128035,72605,2891.5,0.874070288,5,55430,0.222314,0.231478314,404.7350889,0.401084243,0,48.0
57,106749,630,1,4,30,15698,48,1,0,3,1059,0.132542598,0,1,0.147279682,0,5,0,21,14,1686,4304,212568,8152,8895.75,0.854354808,4,204416,0.195698,0.204412692,481.3942886,0.173160699,1,32.8
37,59138,594,1,3,14,13205,72,2,0,1,564,0.393772188,2,1,0.111663227,0,5,0,18,9,1187,5192,24257,18681,4928.166667,0.813101025,4,5576,0.231205,0.211443961,325.1174211,0.180415453,0,51.0
40,114216,635,1,5,17,9809,60,3,3,3,571,0.224187421,3,1,0.630448393,0,4,0,26,2,720,2127,23984,27250,9518.0,0.851839052,10,2482,0.197309,0.201114034,260.4869053,0.087359414,1,46.4
22,63300,503,1,3,0,16476,24,2,2,3,376,0.389649375,3,1,0.235798589,0,4,0,29,7,2154,1735,14710,53225,5275.0,0.870722953,5,6903,0.239976,0.231670288,864.2694728,0.235122175,0,53.0
33,39676,555,1,4,12,47795,60,1,1,4,199,0.346519864,2,1,0.573394538,0,4,0,19,4,840,1085,157749,76577,3306.333333,0.583599495,4,81172,0.275295,0.253474142,1412.597891,0.48742753,0,60.0
41,59192,594,3,1,16,45608,36,3,4,2,222,0.409336365,4,0,0.230115845,0,5,0,18,1,21084,3449,67609,9196,4932.666667,0.844395236,3,58413,0.233608,0.200682644,1696.543489,0.388946511,0,58.0
26,15059,462,1,3,0,20240,24,1,3,4,443,0.09882176,2,0,0.067066338,0,4,0,16,25,713,7335,29861,13107,1254.916667,0.599027175,12,16754,0.26424,0.246020665,1076.202706,1.21060047,0,51.0
