"TRM", "EED - Y", "VA_1", "VA_2", "VA_3", "PM_1", "PM_2", "PM_3"
4217.4,24.84,0,-52.28,-21.36,12.42,-9.146666667,-12.2
4233.17,15.77,24.84,0,-52.28,20.305,13.53666667,-2.9175
4233.54,0.37,15.77,24.84,0,8.07,13.66,10.245
4194.97,-38.57,0.37,15.77,24.84,-19.1,-7.476666667,0.6025
4173.66,-21.31,-38.57,0.37,15.77,-29.94,-19.83666667,-10.935
4197.73,24.07,-21.31,-38.57,0.37,1.38,-11.93666667,-8.86
4203.43,5.7,24.07,-21.31,-38.57,14.885,2.82,-7.5275
4224.21,20.78,5.7,24.07,-21.31,13.24,16.85,7.31
4178.3,-45.91,20.78,5.7,24.07,-12.565,-6.476666667,1.16
4164.21,-14.09,-45.91,20.78,5.7,-30,-13.07333333,-8.38
4188.11,23.9,-14.09,-45.91,20.78,4.905,-12.03333333,-3.83
4192.74,4.63,23.9,-14.09,-45.91,14.265,4.813333333,-7.8675
4139.43,-53.31,4.63,23.9,-14.09,-24.34,-8.26,-9.7175
4155.31,15.88,-53.31,4.63,23.9,-18.715,-10.93333333,-2.225
4156.89,1.58,15.88,-53.31,4.63,8.73,-11.95,-7.805
4175.1,18.21,1.58,15.88,-53.31,9.895,11.89,-4.41
4189.46,14.36,18.21,1.58,15.88,16.285,11.38333333,12.5075
4239.33,49.87,14.36,18.21,1.58,32.115,27.48,21.005
4220.58,-18.75,49.87,14.36,18.21,15.56,15.16,15.9225
4172.13,-48.45,-18.75,49.87,14.36,-33.6,-5.776666667,-0.7425
4236.63,64.5,-48.45,-18.75,49.87,8.025,-0.9,11.7925
4278.28,41.65,64.5,-48.45,-18.75,53.075,19.23333333,9.7375
4285.61,7.33,41.65,64.5,-48.45,24.49,37.82666667,16.2575
4220.68,-64.93,7.33,41.65,64.5,-28.8,-5.316666667,12.1375
4149.79,-70.89,-64.93,7.33,41.65,-67.91,-42.83,-21.71
4172.5,22.71,-70.89,-64.93,7.33,-24.09,-37.70333333,-26.445
4185.82,13.32,22.71,-70.89,-64.93,18.015,-11.62,-24.9475
4185.8,-0.02,13.32,22.71,-70.89,6.65,12.00333333,-8.72
4160.31,-25.49,-0.02,13.32,22.71,-12.755,-4.063333333,2.63
4160.31,0,-25.49,-0.02,13.32,-12.745,-8.503333333,-3.0475
4132.11,-28.2,0,-25.49,-0.02,-14.1,-17.89666667,-13.4275
4065.34,-66.77,-28.2,0,-25.49,-47.485,-31.65666667,-30.115
4045.64,-19.7,-66.77,-28.2,0,-43.235,-38.22333333,-28.6675
4023.92,-21.72,-19.7,-66.77,-28.2,-20.71,-36.06333333,-34.0975
4030.52,6.6,-21.72,-19.7,-66.77,-7.56,-11.60666667,-25.3975
4064.03,33.51,6.6,-21.72,-19.7,20.055,6.13,-0.3275
4013.98,-50.05,33.51,6.6,-21.72,-8.27,-3.313333333,-7.915
4011.37,-2.61,-50.05,33.51,6.6,-26.33,-6.383333333,-3.1375
4021.63,10.26,-2.61,-50.05,33.51,3.825,-14.13333333,-2.2225
4021.63,0,10.26,-2.61,-50.05,5.13,2.55,-10.6
4014.18,-7.45,0,10.26,-2.61,-3.725,0.936666667,0.05
4021.1,6.92,-7.45,0,10.26,-0.265,-0.176666667,2.4325
4038.87,17.77,6.92,-7.45,0,12.345,5.746666667,4.31
4063.26,24.39,17.77,6.92,-7.45,21.08,16.36,10.4075
4064.51,1.25,24.39,17.77,6.92,12.82,14.47,12.5825
4100.79,36.28,1.25,24.39,17.77,18.765,20.64,19.9225
4136.27,35.48,36.28,1.25,24.39,35.88,24.33666667,24.35
4136.27,0,35.48,36.28,1.25,17.74,23.92,18.2525
4184.3,48.03,0,35.48,36.28,24.015,27.83666667,29.9475
4110.37,-73.93,48.03,0,35.48,-12.95,-8.633333333,2.395
4057.14,-53.23,-73.93,48.03,0,-63.58,-26.37666667,-19.7825
4060.34,3.2,-53.23,-73.93,48.03,-25.015,-41.32,-18.9825
4089.05,28.71,3.2,-53.23,-73.93,15.955,-7.106666667,-23.8125
4059.91,-29.14,28.71,3.2,-53.23,-0.215,0.923333333,-12.615
4014.56,-45.35,-29.14,28.71,3.2,-37.245,-15.26,-10.645
4035,20.44,-45.35,-29.14,28.71,-12.455,-18.01666667,-6.335
4047.66,12.66,20.44,-45.35,-29.14,16.55,-4.083333333,-10.3475
4010.53,-37.13,12.66,20.44,-45.35,-12.235,-1.343333333,-12.345
4006.01,-4.52,-37.13,12.66,20.44,-20.825,-9.663333333,-2.1375
4040.2,34.19,-4.52,-37.13,12.66,14.835,-2.486666667,1.3
4036.73,-3.47,34.19,-4.52,-37.13,15.36,8.733333333,-2.7325
4011.19,-25.54,-3.47,34.19,-4.52,-14.505,1.726666667,0.165
3977.63,-33.56,-25.54,-3.47,34.19,-29.55,-20.85666667,-7.095
3948.41,-29.22,-33.56,-25.54,-3.47,-31.39,-29.44,-22.9475
3944.97,-3.44,-29.22,-33.56,-25.54,-16.33,-22.07333333,-22.94
3968.87,23.9,-3.44,-29.22,-33.56,10.23,-2.92,-10.58
3979.91,11.04,23.9,-3.44,-29.22,17.47,10.5,0.57
4022.05,42.14,11.04,23.9,-3.44,26.59,25.69333333,18.41
4052.99,30.94,42.14,11.04,23.9,36.54,28.04,27.005
4093.72,40.73,30.94,42.14,11.04,35.835,37.93666667,31.2125
4096.09,2.37,40.73,30.94,42.14,21.55,24.68,29.045
